x, y
0.03284015798629188, 9.99655662787572
1.7601281466906051, 10.046776917504767
5.146555395802474, 10.02291340473166
7.4059350827316575, 10.02291340473166
10.231147583198437, 10.030257760412713
11.947776877918109, 10.288804115629995
11.11910688785169, 10.16973895627656
13.168500292646481, 10.798667386258934
12.575175108761949, 10.556757156078332
14.67086507512028, 11.987572668900686
14.130475085730897, 11.559876301268384
13.628857873915896, 11.212557432286847
15.235659943667775, 12.710176005975626
14.980351819884405, 12.39656237366949
17.690420920281806, 14.839920133466581
16.89039188943462, 14.250680773958422
16.092912936634182, 13.503992300636348
15.64918881898786, 13.111082610149946
16.459012467787318, 13.850902807846293
17.247855929020368, 14.523714737755817
18.32851472640435, 15.089396342802265
19.244841014949504, 14.788667653027932
20.641509277390732, 13.912940964021072
19.90623853016452, 14.364242283706776
21.850219927766666, 12.696478444039048
22.174633059114324, 12.05970905762826
21.18226807972076, 13.313691610935887
22.044489509873287, 12.380334610404402
23.00215446030845, 11.613381953693008
22.539605076420347, 11.827287595446869
23.43765931813468, 11.121115176488212
23.224675113668475, 11.378608820203853
24.680653765721722, 10.549936078044297
24.043755967278123, 10.826126124277415
25.919153964189185, 10.265028841832661
25.283120241777958, 10.416787567743935
27.50905386374693, 10.014105923708172
26.701400942540985, 10.140318440099074
32.09413107308957, 10.017426171680214
37.377002366132594, 10.017933032773598
40.095743839391446, 10.029202996841866
34.51253763126859, 10.020249818904892
29.75903935820226, 10.019369481216385
